,8058.T,8031.T,8053.T,8002.T,8001.T,8015.T,8008.T,8016.T,7433.T,9768.T,"('8058.T', '8058.T')","('8031.T', '8031.T')","('8053.T', '8053.T')","('8002.T', '8002.T')","('8001.T', '8001.T')","('8015.T', '8015.T')","('8008.T', '8008.T')","('8016.T', '8016.T')","('7433.T', '7433.T')","('9768.T', '9768.T')","('8058.T', '8058.T').1","('8031.T', '8031.T').1","('8053.T', '8053.T').1","('8002.T', '8002.T').1","('8001.T', '8001.T').1","('8015.T', '8015.T').1","('8008.T', '8008.T').1","('8016.T', '8016.T').1","('7433.T', '7433.T').1","('9768.T', '9768.T').1"
2022-07-25,1162.1502685546875,1290.02197265625,1599.2431640625,1057.850830078125,691.9141845703125,1329.4339599609375,1513.9735107421875,212.48257446289065,2074.43310546875,1502.8809814453125,,,,,,,,,,,,,,,,,,,,
2022-07-26,1164.5045166015625,1291.347412109375,1590.7139892578125,1064.3223876953125,692.9876708984375,1335.2779541015625,1523.154052734375,214.1824188232422,2074.43310546875,1524.6871337890625,,,,,,,,,,,,,,,,,,,,
2022-07-27,1171.8616943359375,1298.8592529296875,1594.125732421875,1064.753662109375,694.240234375,1329.4339599609375,1514.80810546875,209.9327850341797,2100.73193359375,1548.23779296875,,,,,,,,,,,,,,,,,,,,
2022-07-28,1170.39013671875,1296.8709716796875,1593.699462890625,1065.6165771484375,691.1983642578125,1332.35595703125,1528.996337890625,213.3325042724609,2103.123046875,1538.64306640625,,,,,,,,,,,,,,,,,,,,
2022-07-29,1161.8558349609375,1292.673095703125,1590.2877197265625,1063.8907470703125,691.7351684570312,1319.2076416015625,1508.966064453125,214.1824188232422,2042.5556640625,1550.8544921875,,,,,,,,,,,,,,,,,,,,
2022-08-01,1195.110595703125,1336.19677734375,1620.5665283203125,1097.5418701171875,706.76513671875,1373.261474609375,1522.3194580078125,215.0323638916016,2434.649658203125,1591.8502197265625,,,,,,,,,,,,,,,,,,,,
2022-08-02,1175.6875,1282.51025390625,1572.8026123046875,1072.9508056640625,683.8624267578125,1342.582275390625,1506.4622802734375,212.48257446289065,2454.572998046875,1498.5196533203125,,,,,,,,,,,,,,,,,,,,
2022-08-03,1223.3624267578125,1311.2314453125,1601.3758544921875,1081.147705078125,680.9996337890625,1348.4261474609375,1507.296630859375,212.48257446289065,2430.6650390625,1487.1805419921875,,,,,,,,,,,,,,,,,,,,
2022-08-04,1214.239501953125,1288.2545166015625,1583.4642333984375,1069.9306640625,674.0214233398438,1338.1998291015625,1527.3271484375,215.8822784423828,2414.725830078125,1485.43603515625,,,,,,,,,,,,,,,,,,,,
2022-08-05,1215.122314453125,1300.626708984375,1594.5521240234375,1131.6246337890625,681.7152709960938,1341.1214599609375,1531.500244140625,217.5821533203125,2434.649658203125,1485.43603515625,,,,,,,,,,,,,,,,,,,,
2022-08-08,1228.659423828125,1324.708251953125,1612.4637451171875,1166.569580078125,683.6834716796875,1354.2698974609375,1534.838623046875,221.8318023681641,2438.63427734375,1497.6475830078125,,,,,,,,,,,,,,,,,,,,
2022-08-09,1223.0682373046875,1314.103515625,1586.02294921875,1151.469970703125,660.7806396484375,1345.5042724609375,1524.8233642578125,220.9818725585937,2410.741455078125,1475.8414306640625,,,,,,,,,,,,,,,,,,,,
2022-08-10,1223.65673828125,1318.7432861328125,1593.2728271484375,1141.547119140625,660.0650024414062,1329.4339599609375,1534.838623046875,220.9818725585937,2406.7568359375,1486.308349609375,,,,,,,,,,,,,,,,,,,,
